Selected,Département,Selected (1),Population - First value,Capacité de l’établissement par formation - Sum,Selected (4) - Mode,place per habitant
No,Ain,No,649654,1868,No,0.00287538
No,Aisne,No,534286,2844,No,0.00532299
No,Allier,No,338978,2029,No,0.00598564
No,Alpes-Maritimes,No,1080614,13099,No,0.0121218
No,Alpes-de-Haute-Provence,No,161664,362,No,0.00223921
No,Ardennes,No,271339,1375,No,0.00506746
No,Ardèche,No,328557,809,No,0.00246228
No,Ariège,No,152321,334,No,0.00219274
No,Aube,No,311623,3295,No,0.0105737
No,Aude,No,370245,1419,No,0.0038326
No,Aveyron,No,281082,1457,No,0.00518354
No,Bas-Rhin,No,1125279,17071,No,0.0151705
No,Bouches-du-Rhône,No,2043941,25943,No,0.0126926
No,Calvados,No,695818,10719,No,0.0154049
No,Cantal,No,144240,650,No,0.00450638
No,Charente,No,351971,1646,No,0.00467652
No,Charente-Maritime,No,648183,4215,No,0.00650279
No,Cher,No,304794,1669,No,0.00547583
No,Corrèze,No,241891,1632,No,0.00674684
No,Corse-du-Sud,No,159894,269,No,0.00168236
No,Creuse,No,118711,435,No,0.00366436
No,Côte-d'Or,No,536837,9518,No,0.0177298
No,Côtes-d'Armor,No,598715,4105,No,0.00685635
No,Deux-Sèvres,No,375652,1684,No,0.00448287
No,Dordogne,No,412629,1553,No,0.00376367
No,Doubs,No,540890,8025,No,0.0148367
No,Drôme,No,516172,3709,No,0.00718559
No,Essonne,No,1313729,9893,No,0.00753047
No,Eure,No,610152,1763,No,0.00288944
No,Eure-et-Loir,No,433983,1204,No,0.0027743
No,Finistère,No,910502,11502,No,0.0126326
No,Gard,No,748236,7409,No,0.00990196
No,Gers,No,191332,642,No,0.00335542
No,Gironde,No,1610829,21840,No,0.0135582
No,Guadeloupe,No,390704,5159,No,0.0132044
No,Guyane,No,281612,2522,No,0.00895558
No,Haut-Rhin,No,767606,4298,No,0.00559923
No,Haute-Corse,No,177902,2197,No,0.0123495
No,Haute-Garonne,No,1388393,28767,No,0.0207196
No,Haute-Loire,No,227444,927,No,0.00407573
No,Haute-Marne,No,175102,619,No,0.00353508
No,Haute-Savoie,No,829668,3556,No,0.00428605
No,Haute-Saône,No,234316,533,No,0.00227471
No,Haute-Vienne,No,374158,6751,No,0.0180432
No,Hautes-Alpes,No,141576,454,No,0.00320676
No,Hautes-Pyrénées,No,227492,1683,No,0.00739806
No,Hauts-de-Seine,No,1612788,17861,No,0.0110746
No,Hérault,No,1160043,18813,No,0.0162175
No,Ille-et-Vilaine,No,1073883,19126,No,0.0178101
No,Indre,No,218508,851,No,0.00389459
No,Indre-et-Loire,No,611139,9389,No,0.0153631
No,Isère,No,1272816,24718,No,0.0194199
No,Jura,No,259393,1113,No,0.00429079
No,La Réunion,No,865826,13414,No,0.0154927
No,Landes,No,411757,1145,No,0.00278077
No,Loir-et-Cher,No,332601,1458,No,0.00438363
No,Loire,No,762495,8288,No,0.0108696
No,Loire-Atlantique,No,1413341,16824,No,0.0119037
No,Loiret,No,681497,7971,No,0.0116963
No,Lot,No,171463,608,No,0.00354595
No,Lot-et-Garonne,No,333230,1738,No,0.00521562
No,Lozère,No,75463,767,No,0.0101639
No,Maine-et-Loire,No,820655,11863,No,0.0144555
No,Manche,No,496972,1735,No,0.00349114
No,Marne,No,573253,9807,No,0.0171076
No,Martinique,No,371246,4978,No,0.0134089
No,Mayenne,No,306323,1859,No,0.00606876
No,Mayotte,No,259154,1601,No,0.00617779
No,Meurthe-et-Moselle,No,733085,12513,No,0.017069
No,Meuse,No,187372,474,No,0.00252973
No,Morbihan,No,753543,6217,No,0.00825036
No,Moselle,No,1038558,9256,No,0.00891236
No,Nièvre,No,205942,1005,No,0.00488001
No,Nord,No,2613874,46985,No,0.0179752
No,Oise,No,829839,3953,No,0.00476357
No,Orne,No,282516,1436,No,0.0050829
No,Paris,No,2168462,63101,No,0.0290994
No,Pas-de-Calais,No,1475142,11980,No,0.00812125
No,Puy-de-Dôme,No,655185,11540,No,0.0176133
No,Pyrénées-Atlantiques,No,677189,6863,No,0.0101345
No,Pyrénées-Orientales,No,482131,3422,No,0.00709766
No,Rhône,No,1878095,44916,No,0.0239157
No,Sarthe,No,566901,5010,No,0.00883752
No,Savoie,No,433755,3586,No,0.00826734
No,Saône-et-Loire,No,553129,2145,No,0.00387794
No,Seine-Maritime,No,1257009,17652,No,0.0140429
No,Seine-Saint-Denis,No,1646105,15740,No,0.00956197
No,Seine-et-Marne,No,1422736,9272,No,0.00651702
No,Somme,No,570195,9984,No,0.0175098
No,Tarn,No,392407,2695,No,0.00686787
No,Tarn-et-Garonne,No,262582,738,No,0.00281055
No,Territoire de Belfort,No,144479,1540,No,0.010659
No,Val-d'Oise,No,1242746,9216,No,0.00741584
No,Val-de-Marne,No,1401228,16141,No,0.0115192
No,Var,No,1071832,6493,No,0.00605785
No,Vaucluse,No,566096,4426,No,0.00781846
No,Vendée,No,680191,3942,No,0.00579543
No,Vienne,No,438136,13930,No,0.0317938
No,Vosges,No,364873,1542,No,0.00422613
No,Yonne,No,338303,888,No,0.00262487
No,Yvelines,No,1438440,10210,No,0.00709797
