Selected,Département - First value,Département,statut,Selected (1),Population - First value,Capacité de l’établissement par formation - Sum,statut - First value,place per habitant
No,Ain,Ain,privée,No,649654,231,privée,0.000355574
No,Ain,Ain,public,No,649654,1637,public,0.0025198
No,Aisne,Aisne,privée,No,534286,394,privée,0.000737433
No,Aisne,Aisne,public,No,534286,2450,public,0.00458556
No,Allier,Allier,privée,No,338978,430,privée,0.00126852
No,Allier,Allier,public,No,338978,1599,public,0.00471712
No,Alpes-Maritimes,Alpes-Maritimes,privée,No,1080614,2254,privée,0.00208585
No,Alpes-Maritimes,Alpes-Maritimes,public,No,1080614,10845,public,0.010036
No,Alpes-de-Haute-Provence,Alpes-de-Haute-Provence,public,No,161664,362,public,0.00223921
No,Ardennes,Ardennes,privée,No,271339,20,privée,7.37085e-05
No,Ardennes,Ardennes,public,No,271339,1355,public,0.00499375
No,Ardèche,Ardèche,privée,No,328557,325,privée,0.000989174
No,Ardèche,Ardèche,public,No,328557,484,public,0.00147311
No,Ariège,Ariège,public,No,152321,334,public,0.00219274
No,Aube,Aube,privée,No,311623,515,privée,0.00165264
No,Aube,Aube,public,No,311623,2780,public,0.00892104
No,Aude,Aude,privée,No,370245,224,privée,0.000605005
No,Aude,Aude,public,No,370245,1195,public,0.00322759
No,Aveyron,Aveyron,privée,No,281082,328,privée,0.00116692
No,Aveyron,Aveyron,public,No,281082,1129,public,0.00401662
No,Bas-Rhin,Bas-Rhin,privée,No,1125279,1405,privée,0.00124858
No,Bas-Rhin,Bas-Rhin,public,No,1125279,15666,public,0.0139219
No,Bouches-du-Rhône,Bouches-du-Rhône,privée,No,2043941,3405,privée,0.0016659
No,Bouches-du-Rhône,Bouches-du-Rhône,public,No,2043941,22538,public,0.0110267
No,Calvados,Calvados,privée,No,695818,1088,privée,0.00156363
No,Calvados,Calvados,public,No,695818,9631,public,0.0138413
No,Cantal,Cantal,privée,No,144240,100,privée,0.000693289
No,Cantal,Cantal,public,No,144240,550,public,0.00381309
No,Charente,Charente,privée,No,351971,277,privée,0.000786997
No,Charente,Charente,public,No,351971,1369,public,0.00388952
No,Charente-Maritime,Charente-Maritime,privée,No,648183,510,privée,0.000786815
No,Charente-Maritime,Charente-Maritime,public,No,648183,3705,public,0.00571598
No,Cher,Cher,privée,No,304794,371,privée,0.00121722
No,Cher,Cher,public,No,304794,1298,public,0.00425861
No,Corrèze,Corrèze,privée,No,241891,265,privée,0.00109553
No,Corrèze,Corrèze,public,No,241891,1367,public,0.00565131
No,Corse-du-Sud,Corse-du-Sud,privée,No,159894,17,privée,0.00010632
No,Corse-du-Sud,Corse-du-Sud,public,No,159894,252,public,0.00157604
No,Creuse,Creuse,public,No,118711,435,public,0.00366436
No,Côte-d'Or,Côte-d'Or,privée,No,536837,1278,privée,0.00238061
No,Côte-d'Or,Côte-d'Or,public,No,536837,8240,public,0.0153492
No,Côtes-d'Armor,Côtes-d'Armor,privée,No,598715,1266,privée,0.00211453
No,Côtes-d'Armor,Côtes-d'Armor,public,No,598715,2839,public,0.00474182
