Selected,Département - First value,Département,Selected (1),Population - First value,Capacité de l’établissement par formation - Sum,place per habitant
No,Ain,Ain,No,649654,1637,0.0025198
No,Aisne,Aisne,No,534286,2450,0.00458556
No,Allier,Allier,No,338978,1599,0.00471712
No,Alpes-Maritimes,Alpes-Maritimes,No,1080614,10845,0.010036
No,Alpes-de-Haute-Provence,Alpes-de-Haute-Provence,No,161664,362,0.00223921
No,Ardennes,Ardennes,No,271339,1355,0.00499375
No,Ardèche,Ardèche,No,328557,484,0.00147311
No,Ariège,Ariège,No,152321,334,0.00219274
No,Aube,Aube,No,311623,2780,0.00892104
No,Aude,Aude,No,370245,1195,0.00322759
No,Aveyron,Aveyron,No,281082,1129,0.00401662
No,Bas-Rhin,Bas-Rhin,No,1125279,15666,0.0139219
No,Bouches-du-Rhône,Bouches-du-Rhône,No,2043941,22538,0.0110267
No,Calvados,Calvados,No,695818,9631,0.0138413
No,Cantal,Cantal,No,144240,550,0.00381309
No,Charente,Charente,No,351971,1369,0.00388952
No,Charente-Maritime,Charente-Maritime,No,648183,3705,0.00571598
No,Cher,Cher,No,304794,1298,0.00425861
No,Corrèze,Corrèze,No,241891,1367,0.00565131
No,Corse-du-Sud,Corse-du-Sud,No,159894,252,0.00157604
No,Creuse,Creuse,No,118711,435,0.00366436
No,Côte-d'Or,Côte-d'Or,No,536837,8240,0.0153492
No,Côtes-d'Armor,Côtes-d'Armor,No,598715,2839,0.00474182
No,Deux-Sèvres,Deux-Sèvres,No,375652,1087,0.00289364
No,Dordogne,Dordogne,No,412629,1408,0.00341227
No,Doubs,Doubs,No,540890,7672,0.014184
No,Drôme,Drôme,No,516172,2753,0.00533349
No,Essonne,Essonne,No,1313729,9321,0.00709507
No,Eure,Eure,No,610152,1413,0.00231582
No,Eure-et-Loir,Eure-et-Loir,No,433983,1107,0.00255079
No,Finistère,Finistère,No,910502,9548,0.0104865
No,Gard,Gard,No,748236,6220,0.00831289
No,Gers,Gers,No,191332,573,0.00299479
No,Gironde,Gironde,No,1610829,19157,0.0118926
No,Guadeloupe,Guadeloupe,No,390704,4629,0.0118478
No,Guyane,Guyane,No,281612,2384,0.00846555
No,Haut-Rhin,Haut-Rhin,No,767606,4069,0.0053009
No,Haute-Corse,Haute-Corse,No,177902,2130,0.0119729
No,Haute-Garonne,Haute-Garonne,No,1388393,24603,0.0177205
No,Haute-Loire,Haute-Loire,No,227444,544,0.0023918
No,Haute-Marne,Haute-Marne,No,175102,527,0.00300967
No,Haute-Savoie,Haute-Savoie,No,829668,2867,0.0034556
No,Haute-Saône,Haute-Saône,No,234316,435,0.00185647
No,Haute-Vienne,Haute-Vienne,No,374158,6286,0.0168004
No,Hautes-Alpes,Hautes-Alpes,No,141576,454,0.00320676
No,Hautes-Pyrénées,Hautes-Pyrénées,No,227492,1455,0.00639583
No,Hauts-de-Seine,Hauts-de-Seine,No,1612788,12373,0.00767181
No,Hérault,Hérault,No,1160043,17041,0.01469
No,Ille-et-Vilaine,Ille-et-Vilaine,No,1073883,15309,0.0142557
No,Indre,Indre,No,218508,799,0.00365662
No,Indre-et-Loire,Indre-et-Loire,No,611139,8233,0.0134716
No,Isère,Isère,No,1272816,23667,0.0185942
No,Jura,Jura,No,259393,834,0.0032152
No,La Réunion,La Réunion,No,865826,12731,0.0147039
No,Landes,Landes,No,411757,1031,0.0025039
No,Loir-et-Cher,Loir-et-Cher,No,332601,1336,0.00401682
No,Loire,Loire,No,762495,7537,0.00988465
No,Loire-Atlantique,Loire-Atlantique,No,1413341,12207,0.00863698
No,Loiret,Loiret,No,681497,7112,0.0104358
No,Lot,Lot,No,171463,552,0.00321935
No,Lot-et-Garonne,Lot-et-Garonne,No,333230,1579,0.00473847
No,Lozère,Lozère,No,75463,306,0.00405497
No,Maine-et-Loire,Maine-et-Loire,No,820655,7227,0.00880638
No,Manche,Manche,No,496972,1437,0.00289151
No,Marne,Marne,No,573253,8333,0.0145363
No,Martinique,Martinique,No,371246,4334,0.0116742
No,Mayenne,Mayenne,No,306323,992,0.00323841
No,Mayotte,Mayotte,No,259154,1593,0.00614692
No,Meurthe-et-Moselle,Meurthe-et-Moselle,No,733085,11624,0.0158563
No,Meuse,Meuse,No,187372,408,0.00217749
No,Morbihan,Morbihan,No,753543,4737,0.0062863
No,Moselle,Moselle,No,1038558,8470,0.00815554
No,Nièvre,Nièvre,No,205942,840,0.00407882
No,Nord,Nord,No,2613874,33129,0.0126743
No,Oise,Oise,No,829839,3036,0.00365854
No,Orne,Orne,No,282516,981,0.00347237
No,Paris,Paris,No,2168462,50526,0.0233004
No,Pas-de-Calais,Pas-de-Calais,No,1475142,10208,0.00692001
No,Puy-de-Dôme,Puy-de-Dôme,No,655185,10559,0.0161161
No,Pyrénées-Atlantiques,Pyrénées-Atlantiques,No,677189,5808,0.00857663
No,Pyrénées-Orientales,Pyrénées-Orientales,No,482131,3104,0.00643808
No,Rhône,Rhône,No,1878095,34447,0.0183415
No,Sarthe,Sarthe,No,566901,4391,0.00774562
No,Savoie,Savoie,No,433755,3435,0.00791922
No,Saône-et-Loire,Saône-et-Loire,No,553129,1968,0.00355794
No,Seine-Maritime,Seine-Maritime,No,1257009,15377,0.012233
No,Seine-Saint-Denis,Seine-Saint-Denis,No,1646105,14837,0.0090134
No,Seine-et-Marne,Seine-et-Marne,No,1422736,8812,0.0061937
